,name,artist,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
55,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,210772,0.653,0.194,0.809,0.0,0.165,-4.057,0.0474,92.213
56,High Hopes,Panic! At The Disco,190946,0.579,0.193,0.904,0.0,0.064,-2.729,0.0618,82.014
57,Canyon Moon,Harry Styles,189786,0.603,0.328,0.621,3.49e-05,0.119,-7.14,0.0267,94.022
58,Sunshine,khai dreams,166942,0.866,0.59,0.655,0.0,0.139,-5.965,0.286,106.029
59,Wake Up,DOUBLECAMP,198127,0.86,0.119,0.455,0.0,0.0735,-4.296,0.114,90.04
60,Take Me With You,Wingtip,211706,0.75,0.0553,0.618,4e-06,0.224,-7.322,0.0367,100.002
61,Love Never Felt So Good,Michael Jackson,246026,0.775,0.132,0.719,1.79e-06,0.0662,-6.212,0.0435,117.513
62,The Internet,Jon Bellion,189491,0.767,0.106,0.792,1.02e-05,0.145,-5.053,0.225,119.168
63,Runaway Kids,HARBOUR,224343,0.513,0.00646,0.847,0.0,0.0833,-6.662,0.0472,100.977
64,My Type,Saint Motel,204811,0.595,0.0641,0.896,5.82e-05,0.0748,-2.951,0.047,118.001
65,Classic,MKTO,175426,0.72,0.0384,0.791,0.0,0.157,-4.689,0.124,102.071
66,Sweet Talk,Saint Motel,192040,0.67,0.0392,0.843,0.0,0.225,-4.311,0.0454,117.01
67,Bummerland,AJR,189115,0.629,0.124,0.833,0.0,0.159,-7.219,0.0855,80.968
68,Smile,Katy Perry,166898,0.783,0.0238,0.912,0.0,0.339,-3.713,0.243,98.025
69,Good as Hell (feat. Ariana Grande),Lizzo,159011,0.668,0.298,0.892,0.0,0.735,-3.001,0.0645,95.927
70,Forget You,CeeLo Green,222733,0.696,0.134,0.875,0.0,0.159,-3.682,0.0649,127.39
71,Freckles (Live in LA),Lawrence,418780,0.627,0.173,0.608,0.0,0.773,-6.152,0.304,141.013
72,Teach Me How To Love,Shawn Mendes,202356,0.592,0.0505,0.885,2.38e-06,0.0843,-4.944,0.0807,98.991
73,305,Shawn Mendes,189072,0.564,0.195,0.866,0.0352,0.118,-5.575,0.0604,164.935
74,Teach Me How To Love,Shawn Mendes,202356,0.585,0.0519,0.884,1.49e-06,0.0842,-5.12,0.0867,99.014
