acousticness,energy,loudness,target
0.0947,0.746,-5.482,0
0.63,0.379,-8.573,0
0.704,0.357,-8.423,0
0.016,0.816,-4.684,0
0.357,0.287,-9.808,0
0.959,0.0911,-17.665,0
0.715,0.344,-12.577,0
0.907,0.257,-12.358,0
0.309,0.407,-7.445,0
0.164,0.417,-8.74,0
0.0846,0.455,-8.303,0
0.845,0.263,-14.029,0
0.922,0.264,-7.064,0
0.883,0.161,-22.32,0
0.313,0.292,-15.523,0
0.907,0.172,-10.636,0
0.774,0.295,-9.773,0
0.731,0.442,-7.224,0
0.908,0.085,-19.387,0
0.631,0.403,-8.339,0
0.735,0.262,-15.73,0
0.869,0.225,-13.865,0
0.576,0.436,-9.321,0
0.845,0.214,-12.518,0
0.828,0.107,-15.465,0
0.851,0.219,-11.216,0
0.835,0.242,-12.238,0
0.801,0.119,-20.156,0
0.798,0.085,-22.069,0
0.828,0.315,-11.028,0
0.367,0.322,-10.687,0
0.0339,0.54,-10.484,0
0.372,0.339,-11.917,0
0.396,0.208,-16.725,0
0.427,0.28,-12.87,0
0.0425,0.574,-7.016,0
0.701,0.207,-13.155,0
0.791,0.313,-13.138,0
0.00183,0.585,-6.957,0
0.0364,0.643,-7.36,0
0.948,0.157,-13.791,0
0.949,0.0744,-16.092,0
0.202,0.479,-6.786,0
0.0173,0.419,-8.8,0
0.134,0.2,-13.569,0
0.318,0.524,-11.64,0
0.9,0.201,-9.903,0
0.925,0.238,-10.18,0
0.68,0.296,-18.09,0
0.546,0.441,-11.999,0
0.399,0.583,-8.451,0
0.418,0.224,-15.312,0
0.625,0.528,-6.265,0
